inventory_id,material_id,area_id,purchase_date,quantity_purchased,quantity_used,quantity_wasted,unit_cost,expiry_date
INV0000001,M01,A01,2025-02-10,63,44,5,320,2025-02-17
INV0000002,M01,A01,2024-10-10,18,11,0,320,2024-10-17
INV0000003,M01,A01,2025-09-02,58,44,6,320,2025-09-09
INV0000004,M01,A01,2024-06-23,43,21,8,320,2024-06-30
INV0000005,M01,A01,2026-06-21,43,37,1,320,2026-06-28
INV0000006,M01,A01,2026-07-06,42,38,0,320,2026-07-13
INV0000007,M01,A02,2024-12-24,30,21,4,320,2024-12-31
INV0000008,M01,A02,2025-02-10,77,57,7,320,2025-02-17
INV0000009,M01,A02,2026-01-08,73,40,12,320,2026-01-15
INV0000010,M01,A02,2025-09-16,99,51,17,320,2025-09-23
INV0000011,M01,A02,2025-05-19,31,26,1,320,2025-05-26
INV0000012,M01,A02,2026-06-20,50,25,5,320,2026-06-27
INV0000013,M01,A03,2025-05-27,25,12,3,320,2025-06-03
INV0000014,M01,A03,2026-03-12,62,34,1,320,2026-03-19
INV0000015,M01,A03,2025-01-23,42,33,2,320,2025-01-30
INV0000016,M01,A03,2024-09-12,32,24,0,320,2024-09-19
INV0000017,M01,A03,2024-04-01,45,34,1,320,2024-04-08
INV0000018,M01,A03,2024-08-08,41,37,1,320,2024-08-15
INV0000019,M01,A04,2026-02-16,64,61,1,320,2026-02-23
INV0000020,M01,A04,2026-01-22,29,15,5,320,2026-01-29
INV0000021,M01,A04,2025-04-25,20,18,0,320,2025-05-02
INV0000022,M01,A04,2024-07-14,57,51,0,320,2024-07-21
INV0000023,M01,A04,2025-07-14,14,7,2,320,2025-07-21
INV0000024,M01,A04,2025-12-19,40,18,1,320,2025-12-26
INV0000025,M01,A05,2025-08-02,42,37,0,320,2025-08-09
INV0000026,M01,A05,2025-08-30,53,36,4,320,2025-09-06
INV0000027,M01,A05,2024-05-30,94,77,3,320,2024-06-06
INV0000028,M01,A05,2026-06-26,20,12,2,320,2026-07-03
INV0000029,M01,A05,2026-04-06,39,31,1,320,2026-04-13
INV0000030,M01,A05,2024-01-07,57,41,2,320,2024-01-14
INV0000031,M01,A06,2024-05-09,122,87,3,320,2024-05-16
INV0000032,M01,A06,2026-05-11,55,32,8,320,2026-05-18
INV0000033,M01,A06,2025-05-28,35,22,2,320,2025-06-04
INV0000034,M01,A06,2024-05-16,38,36,0,320,2024-05-23
INV0000035,M01,A06,2025-06-16,30,25,1,320,2025-06-23
INV0000036,M01,A06,2024-11-09,33,19,4,320,2024-11-16
INV0000037,M01,A07,2025-11-09,65,37,2,320,2025-11-16
INV0000038,M01,A07,2025-11-30,17,10,0,320,2025-12-07
INV0000039,M01,A07,2026-01-06,54,33,8,320,2026-01-13
INV0000040,M01,A07,2024-09-17,113,77,14,320,2024-09-24
INV0000041,M01,A07,2025-12-12,68,64,0,320,2025-12-19
INV0000042,M01,A07,2025-12-27,84,69,4,320,2026-01-03
INV0000043,M01,A08,2024-05-08,52,32,7,320,2024-05-15
INV0000044,M01,A08,2025-10-27,25,16,1,320,2025-11-03
INV0000045,M01,A08,2024-05-23,31,25,1,320,2024-05-30
INV0000046,M01,A08,2024-06-25,56,27,12,320,2024-07-02
INV0000047,M01,A08,2024-12-22,41,32,2,320,2024-12-29
INV0000048,M01,A08,2024-03-14,74,65,2,320,2024-03-21
INV0000049,M02,A01,2026-01-10,46,27,5,280,2026-01-13
INV0000050,M02,A01,2024-03-26,41,23,5,280,2024-03-29
INV0000051,M02,A01,2024-03-31,38,26,3,280,2024-04-03
INV0000052,M02,A01,2025-02-24,59,48,4,280,2025-02-27
INV0000053,M02,A01,2025-12-01,28,18,3,280,2025-12-04
INV0000054,M02,A01,2024-10-12,62,41,6,280,2024-10-15
INV0000055,M02,A02,2024-01-21,41,33,0,280,2024-01-24
INV0000056,M02,A02,2026-02-18,55,47,1,280,2026-02-21
INV0000057,M02,A02,2026-03-15,39,34,0,280,2026-03-18
INV0000058,M02,A02,2025-06-22,13,7,2,280,2025-06-25
INV0000059,M02,A02,2024-09-13,54,46,2,280,2024-09-16
INV0000060,M02,A02,2025-12-17,68,37,10,280,2025-12-20
INV0000061,M02,A03,2025-08-23,61,47,2,280,2025-08-26
INV0000062,M02,A03,2026-01-08,31,19,4,280,2026-01-11
INV0000063,M02,A03,2025-06-07,57,53,1,280,2025-06-10
