order_item_id,order_id,dish_id,quantity,selling_price,discount,revenue,ingredient_cost,profit
I00000001,O0000001,D06,1,460.0,0,460.0,186,208.864
I00000002,O0000001,D02,1,340.0,0,340.0,156,135.856
I00000003,O0000002,D01,1,260.0,0,260.0,92,131.184
I00000004,O0000003,D08,1,180.0,10,162.0,58,78.512
I00000005,O0000003,D06,2,460.0,10,828.0,372,325.728
I00000006,O0000004,D12,1,360.0,15,306.0,165,90.024
I00000007,O0000004,D03,2,240.0,15,408.0,192,148.032
I00000008,O0000005,D04,2,320.0,5,608.0,296,221.376
I00000009,O0000006,D06,2,460.0,0,920.0,372,417.728
I00000010,O0000006,D15,3,160.0,0,480.0,126,286.03200000000004
I00000011,O0000006,D07,1,190.0,0,190.0,62,101.096
I00000012,O0000007,D03,2,240.0,0,480.0,192,220.032
I00000013,O0000007,D01,1,260.0,0,260.0,92,131.184
I00000014,O0000008,D10,1,230.0,0,230.0,84,113.432
I00000015,O0000008,D04,1,320.0,0,320.0,148,126.688
I00000016,O0000009,D10,1,230.0,10,207.0,84,90.432
I00000017,O0000010,D14,1,150.0,0,150.0,46,82.76
I00000018,O0000011,D14,1,150.0,0,150.0,46,82.76
I00000019,O0000012,D15,1,160.0,0,160.0,42,95.344
I00000020,O0000012,D12,1,360.0,0,360.0,165,144.024
I00000021,O0000012,D18,2,280.0,0,560.0,224,256.704
I00000022,O0000013,D10,1,230.0,0,230.0,84,113.432
I00000023,O0000013,D14,1,150.0,0,150.0,46,82.76
I00000024,O0000014,D15,2,160.0,0,320.0,84,190.688
I00000025,O0000014,D04,1,320.0,0,320.0,148,126.688
I00000026,O0000015,D06,2,460.0,0,920.0,372,417.728
I00000027,O0000016,D13,1,120.0,0,120.0,34,69.00800000000001
I00000028,O0000017,D15,1,160.0,0,160.0,42,95.344
I00000029,O0000018,D07,1,190.0,0,190.0,62,101.096
I00000030,O0000019,D08,1,180.0,0,180.0,58,96.512
I00000031,O0000019,D15,1,160.0,0,160.0,42,95.344
I00000032,O0000020,D15,1,160.0,10,144.0,42,79.344
I00000033,O0000020,D14,1,150.0,10,135.0,46,67.76
I00000034,O0000021,D05,1,390.0,0,390.0,148,183.5
I00000035,O0000021,D10,1,230.0,0,230.0,84,111.5
I00000036,O0000022,D17,1,220.0,0,220.0,82,105.0
I00000037,O0000023,D04,2,320.0,0,640.0,296,248.0
I00000038,O0000023,D10,2,230.0,0,460.0,168,223.0
I00000039,O0000023,D18,1,280.0,0,280.0,112,126.0
I00000040,O0000024,D04,1,320.0,0,320.0,148,124.0
I00000041,O0000024,D16,2,110.0,0,220.0,56,131.0
I00000042,O0000025,D05,1,390.0,10,351.0,148,144.5
I00000043,O0000025,D02,2,340.0,10,612.0,312,198.0
I00000044,O0000026,D07,1,190.0,15,161.5,62,71.0
I00000045,O0000027,D03,1,240.0,15,204.0,96,72.0
I00000046,O0000028,D18,1,280.0,0,280.0,112,126.0
I00000047,O0000029,D01,1,260.0,0,260.0,92,129.0
I00000048,O0000030,D13,1,120.0,0,120.0,34,68.0
I00000049,O0000030,D15,1,160.0,0,160.0,42,94.0
I00000050,O0000031,D05,1,390.0,0,390.0,148,183.5
I00000051,O0000031,D16,1,110.0,0,110.0,28,65.5
I00000052,O0000032,D10,1,230.0,0,230.0,84,111.5
I00000053,O0000032,D17,1,220.0,0,220.0,82,105.0
I00000054,O0000032,D02,1,340.0,0,340.0,156,133.0
I00000055,O0000033,D06,1,460.0,0,460.0,186,205.0
I00000056,O0000034,D03,1,240.0,0,240.0,96,108.0
I00000057,O0000035,D07,1,190.0,0,190.0,62,99.5
I00000058,O0000036,D08,1,180.0,10,162.0,58,77.0
I00000059,O0000037,D05,1,390.0,0,390.0,148,183.5
I00000060,O0000038,D12,1,360.0,10,324.0,165,105.0
I00000061,O0000039,D16,1,110.0,0,110.0,28,65.5
I00000062,O0000040,D10,1,230.0,0,230.0,84,111.5
I00000063,O0000040,D15,1,160.0,0,160.0,42,94.0
