order_id,order_datetime,order_date,customer_id,restaurant_id,area_id,order_value,discount,payment_method,order_status,promotion
O0000001,2024-01-01 20:00:00,2024-01-01,C00162,R01,A01,800.0,0,UPI,Completed,False
O0000002,2024-01-01 13:00:00,2024-01-01,C04298,R01,A01,260.0,0,Cash,Completed,False
O0000003,2024-01-01 19:00:00,2024-01-01,C00996,R01,A01,990.0,10,Card,Completed,True
O0000004,2024-01-01 11:00:00,2024-01-01,C11535,R01,A01,714.0,15,Card,Completed,True
O0000005,2024-01-01 14:00:00,2024-01-01,C07630,R01,A01,608.0,5,Card,Completed,True
O0000006,2024-01-01 12:00:00,2024-01-01,C01017,R01,A01,1590.0,0,UPI,Completed,False
O0000007,2024-01-01 21:00:00,2024-01-01,C08530,R01,A01,740.0,0,UPI,Completed,False
O0000008,2024-01-01 14:00:00,2024-01-01,C17263,R01,A01,550.0,0,UPI,Completed,False
O0000009,2024-01-01 12:00:00,2024-01-01,C09269,R01,A01,207.0,10,Cash,Completed,True
O0000010,2024-01-01 19:00:00,2024-01-01,C12186,R01,A01,150.0,0,Card,Completed,False
O0000011,2024-01-01 19:00:00,2024-01-01,C06332,R01,A01,150.0,0,UPI,Completed,False
O0000012,2024-01-01 19:00:00,2024-01-01,C08572,R01,A01,1080.0,0,UPI,Completed,False
O0000013,2024-01-01 12:00:00,2024-01-01,C07209,R01,A01,380.0,0,UPI,Completed,False
O0000014,2024-01-01 14:00:00,2024-01-01,C05277,R01,A01,640.0,0,UPI,Completed,False
O0000015,2024-01-01 19:00:00,2024-01-01,C16449,R01,A01,920.0,0,Card,Completed,False
O0000016,2024-01-01 18:00:00,2024-01-01,C16217,R01,A01,120.0,0,Card,Completed,False
O0000017,2024-01-01 20:00:00,2024-01-01,C08007,R01,A01,160.0,0,Cash,Completed,False
O0000018,2024-01-01 12:00:00,2024-01-01,C02569,R01,A01,190.0,0,UPI,Completed,False
O0000019,2024-01-01 12:00:00,2024-01-01,C02028,R01,A01,340.0,0,UPI,Completed,False
O0000020,2024-01-01 14:00:00,2024-01-01,C02696,R01,A01,279.0,10,Card,Completed,True
O0000021,2024-01-01 19:00:00,2024-01-01,C07778,R02,A02,620.0,0,Wallet,Completed,False
O0000022,2024-01-01 20:00:00,2024-01-01,C00198,R02,A02,220.0,0,Cash,Completed,False
O0000023,2024-01-01 18:00:00,2024-01-01,C01931,R02,A02,1380.0,0,UPI,Completed,False
O0000024,2024-01-01 21:00:00,2024-01-01,C11775,R02,A02,540.0,0,Card,Completed,False
O0000025,2024-01-01 11:00:00,2024-01-01,C15088,R02,A02,963.0,10,Cash,Completed,True
O0000026,2024-01-01 11:00:00,2024-01-01,C09340,R02,A02,161.5,15,Card,Completed,True
